Model,Type,RMSE,MAE,Accuracy,F1
RF_Reg,Regression,9489.154475697647,9201.92546387691,,
XGB_Reg,Regression,11242.186716316624,11007.851254654819,,
LR_Cls,Classification,,,0.5033058063852229,0.27697262479871176
XGB_Cls,Classification,,,0.5010161817293097,0.5128591520996584
LSTM_Reg,Regression,88947.7775776326,88926.9609375,,
GRU_Cls,Classification,,,0.5069439076550463,0.2584095489071462
Transformer_Reg,Regression,5333.72215249351,5127.7744140625,,
